L,M,X,Y,U,V,P,RHO,Q,Mach,T
1.0,1.0,0.31,0.0,144.332,-0.0,69.216,0.347087,144.332,0.1269,78.2651
1.0,2.0,0.31,0.3571,141.7219,-0.0,69.244,0.347187,141.7219,0.1246,78.3272
1.0,3.0,0.31,0.7143,128.2803,-0.0,69.3801,0.347675,128.2883,0.1128,78.6293
1.0,4.0,0.31,1.0714,109.3612,-0.0,69.5491,0.348279,109.3612,0.0961,79.004
1.0,5.0,0.31,1.4286,86.435,-0.0,69.7181,0.348884,86.435,0.0759,79.3778
1.0,6.0,0.31,1.7857,62.273,-0.0,69.8536,0.349368,62.273,0.0547,79.6771
1.0,7.0,0.31,2.1429,39.9999,-0.0,69.9396,0.349675,39.9999,0.0351,79.8668
1.0,8.0,0.31,2.5,19.8533,-0.0,69.9851,0.349838,19.8533,0.0174,79.9672
2.0,1.0,0.497,0.0,146.0691,0.0,69.2904,0.347288,146.0691,0.1284,78.5319
2.0,2.0,0.497,0.354,143.4627,-4.4461,69.3196,0.347388,143.5516,0.1262,78.6038
2.0,3.0,0.497,0.7083,130.0268,-8.4555,69.4507,0.347845,130.3006,0.1145,78.9123
2.0,4.0,0.497,1.0619,110.931,-10.9369,69.6135,0.348395,111.4688,0.0979,79.3234
2.0,5.0,0.497,1.4159,67.8029,-11.7973,69.7741,0.34892,88.5919,0.0778,79.7545
2.0,6.0,0.497,1.7699,63.3199,-10.8059,69.8959,0.349328,64.2353,0.0564,80.0651
2.0,7.0,0.497,2.1239,40.725,-6.3105,69.973,0.349708,41.5643,0.0365,80.0739
2.0,8.0,0.497,2.4778,20.2377,-4.6653,70.0063,0.34985,20.8143,0.0183,80.1108
3.0,1.0,0.684,0.0008,153.222,0.0,69.1441,0.346842,153.2228,0.1347,78.0858
3.0,2.0,0.684,0.3439,150.4176,-8.0795,69.1721,0.346941,150.6344,0.1325,78.1501
3.0,3.0,0.684,0.6878,136.5817,-15.2234,69.2963,0.347379,137.4275,0.1208,78.4365
3.0,4.0,0.684,1.0317,116.4617,-19.671,69.4572,0.347946,118.1113,0.1038,78.8078
3.0,5.0,0.684,1.3755,92.128,-21.2109,69.6187,0.348556,94.5382,0.0831,79.1154
3.0,6.0,0.684,1.7194,66.2422,-19.719,69.7494,0.349177,69.1149,0.0607,79.1672
3.0,7.0,0.684,2.0633,42.274,-15.8931,69.8388,0.349479,45.1628,0.0397,79.3908
3.0,8.0,0.684,2.4072,21.3548,-11.2935,69.8902,0.349784,24.1572,0.0212,79.318
4.0,1.0,0.871,0.08,165.023,0.0,69.0375,0.346366,165.023,0.1451,77.9945
4.0,2.0,0.871,0.3243,161.8471,-12.7268,69.0716,0.346482,162.3467,0.1428,78.0821
4.0,3.0,0.871,0.6487,148.1388,-24.0734,69.2124,0.34697,150.0821,0.1319,78.4187
4.0,4.0,0.871,0.9734,127.6638,-31.8727,69.4034,0.347638,131.5824,0.1156,78.8667
4.0,5.0,0.871,1.2973,102.922,-35.843,69.6042,0.348388,108.9846,0.0957,79.2632
4.0,6.0,0.871,1.6217,76.1942,-35.2401,69.7817,0.348968,83.9523,0.0737,79.7398
4.0,7.0,0.871,1.946,51.5053,-32.0512,69.9154,0.349415,60.6636,0.0532,80.0812
4.0,8.0,0.871,2.2703,29.4211,-28.9397,70.0166,0.349004,41.2688,0.0362,81.4995
5.0,1.0,1.058,0.0,184.0563,0.0,68.793,0.345583,184.0563,0.162,77.3041
5.0,2.0,1.058,0.2977,180.4888,-16.5732,68.827,0.345704,181.2481,0.1595,77.3811
5.0,3.0,1.058,0.5955,167.084,-31.693,68.9608,0.346189,170.0632,0.1496,77.6716
5.0,4.0,1.058,0.8932,146.2731,-42.9213,69.1497,0.346899,152.4403,0.1341,78.0406
5.0,5.0,1.058,1.1909,120.6574,-49.3831,69.3592,0.347728,130.3722,0.1146,78.385
5.0,6.0,1.058,1.4887,92.4029,-49.9027,69.5637,0.348495,105.017,0.0923,78.7833
5.0,7.0,1.058,1.7864,66.3097,-46.6519,69.7342,0.349073,81.0763,0.0712,79.2094
5.0,8.0,1.058,2.0841,45.6459,-45.4552,69.8646,0.351093,64.4183,0.0567,77.2645
6.0,1.0,1.245,0.0,2.086485,0.0,68.3644,0.343931,208.6465,0.1838,76.5209
6.0,2.0,1.245,0.2711,204.5468,-20.333,68.4076,0.344081,205.5549,0.181,76.6265
6.0,3.0,1.245,0.5423,191.1932,-39.2038,68.5551,0.344612,195.1712,0.1718,76.9548
6.0,4.0,1.245,0.8134,169.638,-54.0883,68.7762,0.345419,178.0522,0.1567,77.427
6.0,5.0,1.245,0.8717,217.0973,-98.745,67.6666,0.34136,238.4991,0.2103,75.0325
6.0,6.0,1.245,1.3557,111.8738,-65.9052,69.31,0.347214,129.8432,0.1141,78.7985
6.0,7.0,1.245,1.6268,83.9892,-64.4311,69.5343,0.348057,105.8563,0.093,79.2339
6.0,8.0,1.245,1.8979,60.8833,-60.6288,69.8047,0.348123,85.9223,0.0753,81.2287
7.0,1.0,1.432,0.0,244.4324,0.0,67.8755,0.342319,244.4324,0.2155,75.1934
7.0,2.0,1.432,0.2445,239.7789,-25.3265,67.9268,0.342507,241.1127,0.2126,75.3031
7.0,3.0,1.432,0.4091,226.5992,-49.2547,68.0787,0.343078,231.8906,0.2044,75.6076
7.0,4.0,1.432,0.733,204.31,-69.2211,68.3138,0.343971,215.7177,0.1901,76.0607
7.0,5.0,1.432,0.9781,174.96,-82.8765,68.6031,0.345044,193.5836,0.1705,76.6578
7.0,6.0,1.432,1.2226,140.4528,-87.7474,68.9166,0.346251,165.6098,0.1458,77.2313
7.0,7.0,1.432,1.9672,107.5888,-85.8497,69.2024,0.347372,137.6427,0.1211,77.7176
7.0,8.0,1.432,1.7117,79.2957,-78.9145,69.5794,0.349485,111.8364,0.0904,77.3792
8.0,1.0,1.619,0.0,289.8529,0.0,66.7858,0.338237,269.8529,0.2561,72.9549
8.0,2.0,1.619,0.2179,284.091,-20.5977,66.3547,0.338482,286.1237,0.2526,73.1195
8.0,3.0,1.619,0.9359,271.8205,-56.134,67.023,0.339096,277.5561,0.2451,73.4932
8.0,4.0,1.619,0.6538,248.8164,-80.3206,67.2999,0.340096,261.4613,0.23,74.1227
8.0,5.0,1.619,0.8717,217.0973,-98.745,67.6666,0.34136,238.4991,0.2103,75.0325
8.0,6.0,1.619,1911.0,1.0896,178.2156,-108.4309,60.1022,0.342072,208.6098,0.1838
8.0,7.0,1.619,1.376,139.1469,-110.332,68.5385,0.344469,177.581,0.1563,77.0466
8.0,8.0,1.619,1.5255,103.392,-102.9598,69.368,0.345942,145.9131,0.1279,81.2318
9.0,1.0,1.806,0.0,353.4364,0.0,65.58,0.334062,353.4364,0.3132,69.8416
9.0,2.0,1.806,0.1913,398.2941,-34.5414,65.6636,0.334394,349.9529,0.3101,70.0227
9.0,3.0,1.806,0.3826,336.6731,-68.556,65.8359,0.335051,343.5825,0.3043,70.3717
9.0,4.0,1.806,0.579,314.9155,-100.691,66.1349,0.336165,330.6213,0.2927,70.9827
9.0,5.0,1.806,0.7653,282.8929,-128.3042,66.5481,0.337729,310.629,0.2748,71.8578
9.0,6.0,1.806,0.9566,243.3598,-147.2737,67.0462,0.339698,201.8907,0.2491,72.7483
9.0,7.0,1.806,1.1979,192.3554,-154.1167,67.6139,0.341612,246.2463,0.2174,73.9216
9.0,8.0,1.806,1.3393,133.7156,-133.1567,68.751,0.3467,188.7076,0.0,1664.0
10.0,1.0,1.993,0.0,436.8635,0.0,62.9419,0.324223,436.8635,0.3893,63.9908
10.0,2.0,1.993,0.1697,432.1713,-35.7768,63.0217,0.324508,433.6496,0.3864,64.195
10.0,3.0,1.993,0.3299,423.3175,-71.8588,63.1559,0.324995,429.0775,0.3822,64.5243
10.0,4.0,1.993,0.4992,404.2725,-107.9751,63.4042,0.325878,410.4434,0.3725,65.1589
10.0,6.0,1.993,0.8236,328.4187,-171.0434,64.2934,0.329012,370.6602,0.3292,67.4514
10.0,7.0,1.993,0.9803,264.4466,-165.0507,65.0844,0.331875,322.7626,0.2862,69.3341
10.0,8.0,1.993,1.153,173.3843,-172.3608,65.8445,0.333145,244.2672,0.2157,73.4752
11.0,1.0,2.18,0.0,549.3454,0.0,59.7185,0.312647,549.3454,0.4935,55.5636
11.0,2.0,2.18,0.1381,546.9007,-36.8068,59.7792,0.312892,548.2758,0.4925,55.6038
11.0,3.0,2.18,0.2762,543.1126,-79.2687,59.8393,0.313169,548.8669,0.493,55.7461
11.0,4.0,2.18,0.4149,534.6434,-124.1219,59.9824,0.313805,546.8623,0.4929,55.9318
11.0,5.0,2.18,0.5525,510.7335,-174.8851,60.257,0.314978,547.4206,0.4914,56.3641
11.0,6.0,2.18,0.6906,491.7599,-234.3386,60.7072,0.316985,544.7407,0.4888,56.9273
11.0,7.0,2.18,0.8287,448.5535,-301.6778,61.5756,0.320739,540.5643,0.4844,58.1052
11.0,8.0,2.18,0.9668,392.7955,-391.1038,61.5951,0.321452,554.2664,0.4972,57.1991
12.0,1.0,2.367,0.0,703.1835,0.0,53.3954,0.286509,703.1835,0.6419,39.4042
12.0,2.0,2.367,0.1195,705.4581,-30.245,53.2708,0.280114,706.1062,0.6448,39.0606
12.0,3.0,2.367,0.2389,711.906,-62.2785,52.906,0.286719,714.6793,0.6533,36.0537
12.0,4.0,2.367,0.3589,724.0761,-98.6945,52.2435,0.284196,730.7714,0.6692,36.1859
12.0,5.0,2.367,0.9779,742.4833,-142.4451,51.1951,0.280222,756.0238,0.6945,33.1228
12.0,6.0,2.367,0.5979,769.853,-199.6792,49.5354,0.274167,795.3273,0.7347,27.6732
12.0,7.0,2.367,0.7168,806.1904,-27.0574,47.0966,0.266002,851.4989,0.7946,17.8985
12.0,8.0,2.367,0.8363,926.4913,-373.6663,40.8628,0.24246,999.0058,0.9555,-5.1008
13.0,1.0,2.554,0.0,867.9594,0.0,45.7225,0.250957,867.9594,0.8111,16.5731
13.0,2.0,2.554,0.1193,873.9191,-18.682,45.4031,0.25772,874.1188,0.8177,15.5161
13.0,3.0,2.554,0.2266,887.6345,-37.8442,44.6459,0.25476,888.4409,0.8333,13.0183
13.0,4.0,2.554,0.3929,914.6763,-56.5003,43.224,0.249189,916.4197,0.864,8.1917
13.0,5.0,2.554,0.4571,956.2606,-72.8883,40.8916,0.23992,961.0287,0.914,0.0397
13.0,6.0,2.554,0.5719,1029.4131,-84.1867,37.0759,0.224347,1032.8498,0.9976,-13.9336
13.0,7.0,2.554,0.6857,1148.3074,-75.4358,30.8926,0.197504,1150.7826,1.1425,-37.8082
13.0,8.0,2.554,0.8,1368.1926,-0.0522,22.7786,0.15775,1368.1926,1.4137,-70.2496
14.0,1.0,2.741,0.0,1057.9041,0.0,36.0264,0.218543,1057.9041,1.0231,-15.0469
14.0,2.0,2.741,0.1189,1067.8182,4.0614,35.494,0.216255,1067.8292,1.0349,-16.9857
14.0,3.0,2.741,0.2378,1089.2563,11.408,34.3251,0.211179,1089.316,1.0609,-21.2789
14.0,4.0,2.741,0.3566,1130.3124,26.9803,32.201,0.201817,1130.6344,1.1114,-29.3362
14.0,5.0,2.741,0.4757,1193.1012,59.7158,28.9781,0.0,187128.0,1194.5967,1.1919
14.0,6.0,2.741,0.5946,1286.8774,125.7866,24.3779,0.0,165031.0,1293.0103,1.321
14.0,7.0,2.741,0.7135,1418.7214,259.2371,18.2527,0.133085,1442.2116,1.5291,-69.8075
14.0,8.0,2.741,0.8325,1505.192,403.315,13.9588,0.108703,1558.2894,1.7074,-113.3946
15.0,1.0,2.928,0.0,1229.8892,0.0,27.4288,0.179803,1229.8892,1.2364,-46.246
15.0,2.0,2.928,0.1261,1240.88,32.2297,26.8607,0.177122,1241.2965,1.2516,-50.6718
15.0,3.0,2.928,0.2522,1263.7631,67.2349,25.6518,0.171156,1265.4904,1.2843,-55.9399
15.0,4.0,2.928,0.3782,1305.567,116.1644,23.5457,0.161098,1310.7247,1.3462,-65.4968
15.0,5.0,2.928,0.5043,1363.5225,186.1417,20.6584,0.146475,1376.1695,1.4388,-79.3179
15.0,6.0,2.928,0.6304,1434.6074,283.8963,17.261,0.128325,1462.428,1.5657,-96.9372
15.0,7.0,2.928,0.7565,1495.9417,379.2887,14.3497,0.111752,1543.2763,1.691,-113.41
15.0,8.0,2.928,0.8826,1523.0676,408.1246,13.2341,0.104698,1576.7956,1.7414,-118.819
16.0,1.0,3.115,0.0,1379.6124,2.0,20.5366,0.146067,1379.6124,1.4447,-80.5066
16.0,2.0,3.115,0.1332,1389.4688,57.2871,20.852,0.143567,1390.6493,1.4611,-83.0061
16.0,3.0,3.115,0.2665,1409.1486,116.9047,19.0318,0.11825,1413.9698,1.4964,-88.4294
16.0,4.0,3.115,0.3997,1443.4828,190.1083,17.133,0.129183,1455.9477,1.5607,-97.8448
16.0,5.0,3.115,0.533,1485.385,276.8617,15.2534,0.117647,1510.9669,1.6476,-116.0416
16.0,6.0,3.115,0.6662,1525.9339,367.4337,11.2773,0.106148,1569.5463,1.7425,-122.3815
16.0,7.0,3.115,0.7994,1549.1994,421.6142,12.1092,0.098925,1605.5458,1.8019,-129.6003
16.0,8.0,3.115,0.9327,1556.6257,417.0966,11.9876,0.097596,1611.5375,1.6055,-126.4656
17.0,1.0,3.302,0.0,1507.1046,0.0,15.343,0.118416,1507.1046,1.644,-110.2754
17.0,2.0,3.302,0.1404,1514.6529,77.2857,14.9837,0.116398,1516.6234,1.6597,-112.5417
17.0,3.0,3.302,0.2808,1529.1232,155.3746,14.221,0.112077,1536.9967,1.6942,-117.5164
17.0,4.0,3.302,0.4212,1552.9446,242.7868,13.011,0.10505,1571.8086,1.7537,-125.6938
17.0,5.0,3.302,0.5616,1577.606,331.4854,11.706,0.097193,1612.0556,1.8239,-134.9123
17.0,6.0,3.302,0.702,1595.3473,403.6915,10.7335,0.091068,1645.6305,1.8821,-141.6704
17.0,7.0,3.302,0.8424,1597.4021,431.4081,10.4723,0.089155,1654.6318,1.8956,-142.9533
17.0,8.0,3.302,0.9828,1597.3052,427.9967,10.5899,0.08934,1653.652,1.8859,-140.055
18.0,1.0,3.489,0.0,1612.0423,0.0,11.5688,0.096652,1612.0423,1.8295,-136.9232
18.0,2.0,3.489,0.1476,1616.9281,91.6926,11.329,0.095191,1619.5259,1.8433,-130.7641
18.0,3.0,3.489,0.2951,1625.8324,182.2494,10.8049,0.09198,1636.0152,1.8742,-142.9296
18.0,4.0,3.489,0.4427,1639.4093,276.0081,10.0197,0.087043,1662.481,1.924,-149.1947
18.0,5.0,3.489,0.5902,1649.737,358.9217,9.3066,0.082402,1688.3296,1.9726,-155.1532
18.0,6.0,3.489,0.7378,1651.7627,412.3465,8.9842,0.080145,1702.454,1.9965,-157.4273
18.0,7.0,3.489,0.8853,1641.7622,427.916,9.1585,0.061014,1696.6129,1.9813,-154.8662
18.0,8.0,3.489,1.0329,1638.9946,439.1673,9.2411,0.081065,1696.8121,1.9733,-152.3077
19.0,1.0,3.676,0.0,1704.026,0.0,8.8149,0.07943,1704.026,2.0085,-160.4557
19.0,2.0,3.676,0.1547,1706.2877,101.0366,8.6716,0.07846,1709.2764,2.0191,-161.7878
19.0,3.0,3.676,0.3094,1709.969,198.9763,8.3402,0.076304,1721.5068,2.0445,-164.976
19.0,4.0,3.676,0.4641,1714.2779,293.1834,7.8884,0.073245,1739.168,2.0608,-169.3052
19.0,5.0,3.676,0.6189,1712.3564,365.8767,7.606,0.07125,1751.0084,2.1043,-171.8626
19.0,6.0,3.676,0.7736,1701.0635,403.974,7.6934,0.071703,1749.1524,2.0967,-170.3935
19.0,7.0,3.676,0.9283,1685.4753,420.4454,8.0075,0.071602,1737.1245,2.0679,-166.3468
19.0,8.0,3.676,1.083,1682.109,450.7198,7.9878,0.07304,1741.4474,2.0677,-164.8157
20.0,1.0,3.863,0.0,1766.8661,0.0,6.9239,0.066761,1766.8661,2.1542,-180.0643
20.0,2.0,3.863,0.1619,1767.1843,105.908,6.8519,0.06625,1770.355,2.1615,-180.0404
20.0,3.0,3.863,0.3237,1767.0745,206.887,6.6633,0.064921,1779.1443,2.1605,-182.9639
20.0,4.0,3.863,0.4856,1765.0631,297.6374,6.4524,0.06318,1769.9821,2.2026,-185.2113
20.0,5.0,3.863,0.6475,1755.9466,360.1684,6.4495,0.063276,1792.5037,2.2045,-184.8822
20.0,6.0,3.863,0.8094,1710.1859,391.2931,6.7291,0.065123,1783.636,2.1787,-181.0971
20.0,7.0,3.863,0.9712,1723.3741,415.9469,7.0217,0.066976,1772.8593,2.1499,-177.0232
20.0,8.0,3.863,1.1331,1719.3424,460.6964,6.9351,0.065991,1779.9942,2.1559,-176.34
21.0,1.0,4.05,0.0,1829.7062,-0.0,5.0329,0.054092,1829.7062,2.3553,-206.8585
21.0,2.0,4.05,0.169,1828.0812,110.7794,5.0322,0.054012,1831.4345,2.3559,-206.5265
21.0,3.0,4.05,0.3381,1824.1799,214.7978,4.9865,0.053538,1836.7827,2.3632,-208.6011
21.0,4.0,4.05,0.5071,1815.8484,302.0914,5.0164,0.053515,1840.8054,2.3607,-206.9819
21.0,5.0,4.05,0.6761,1799.5367,354.4601,5.293,0.055301,1834.1141,2.3278,-201.6568
21.0,6.0,4.05,1.1832,1756.5757,470.6731,5.8824,0.058942,1818.541,2.2603,-190.622
21.0,7.0,4.05,1.0142,1761.272,411.4465,6.036,0.060351,1806.6933,2.2456,-190.0439
21.0,8.0,4.05,1.1832,1756.5757,470.6731,5.8824,0.058942,1818.541,2.2603,-190.622
